leg,journee,date,match,win_type,score,available,winner
Second Leg,,27 février 2025,Davos - Zurich,Regular Time,No Score,yes,
Second Leg,,27 février 2025,Genève - Lugano,Regular Time,No Score,yes,
Second Leg,,27 février 2025,Kloten - Zoug,Regular Time,No Score,yes,
Second Leg,,27 février 2025,Lausanne - Fribourg,Regular Time,No Score,yes,
Second Leg,,1 mars 2025,Berne - Genève,Regular Time,No Score,yes,
Second Leg,,1 mars 2025,Fribourg - Ambri,Regular Time,No Score,yes,
Second Leg,,1 mars 2025,Rapperswil - Davos,Regular Time,No Score,yes,
Second Leg,,1 mars 2025,Lugano - Bienne,Regular Time,No Score,yes,
Second Leg,,1 mars 2025,Langnau - Ajoie,Regular Time,No Score,yes,
Second Leg,,1 mars 2025,Zurich - Kloten,Regular Time,No Score,yes,
Second Leg,,1 mars 2025,Zoug - Lausanne,Regular Time,No Score,yes,
